"Минер","Дата","ID товара","Товар","Количество"
"Kurik_One","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,5"
"Kurik_One","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Muslimchaika","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","2"
"Kurik_One","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Kurik_One","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Kurik_One","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Kurik_One","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Kurik_One","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,5"
"Kurik_One","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Kurik_One","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Kurik_One","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Kurik_One","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Kurik_One","06.01.2021","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,25"
"Muslimchaika","06.12.2020","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,5"
"Muslimchaika","06.12.2020","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","1"
"","06.12.2020","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","5"
"Muslimchaika","06.12.2020","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","2"
"westmuslimchaika","06.12.2020","91842","Ice-o-Lator CRITICAL 2020","0,5"
"westmuslimchaika","06.12.2020","91842","Ice-o-Lator CRITICAL 2020","1"
"westmuslimchaika","06.12.2020","86154","АЛЬФА-ПВП  ""кристалл  Import""  NEW","0,5"
